[ 2026-04-19 14:21:39,974 ] 17 root - INFO - Initiate the data ingestion
[ 2026-04-19 14:22:56,207 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-19 14:22:56,207 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-19 14:22:56,207 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-19 14:22:56,278 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-19 14:22:56,278 ] 19 root - INFO - Data Initiation Completed
[ 2026-04-19 14:22:56,285 ] 23 root - INFO - Initiate the data Validation
[ 2026-04-19 14:22:56,325 ] 32 root - INFO - Required number of columns:2
[ 2026-04-19 14:22:56,326 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-19 14:22:56,326 ] 32 root - INFO - Required number of columns:2
[ 2026-04-19 14:22:56,327 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-19 14:22:56,573 ] 25 root - INFO - data Validation Completed
[ 2026-04-19 14:22:56,573 ] 28 root - INFO - data Transformation started
[ 2026-04-19 14:22:56,573 ] 57 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-19 14:22:56,573 ] 59 root - INFO - Starting data transformation
[ 2026-04-19 14:22:56,614 ] 46 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-04-19 14:22:56,614 ] 49 root - INFO - Initialised KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-19 14:22:56,634 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 14:22:56,637 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 14:22:56,637 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 14:22:56,640 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 14:22:56,641 ] 32 root - INFO - data Transformation completed
